Table 6 3: Details of minor tanks available in MWS-002-1,,,
Tank name,Ownership,Location details,Remarks
Kandethenna Wewa,ID,"7.17226 N, 80.71371 E",Recommended to improve reservation
Gurugal Oya Reservoir,ID,"7.15780 N, 80.72799 E  ",Recommended to improve reservation
Great valley Wewa,DAD,"7.18418 N, 80.67180 E",Recommended to improve reservation
Karagaskada North Wewa ,DAD,"7.17819 N, 80.69721 E","Recommended restoring the embankment, desilting, and improving the reservation "
