Table 6 31: Vegetation cover vs population in MWS-002-1,,,,
,Land use,Extent,Percentage,Population
1,Forests and associated lands,710.4,40.9,11 GNDs
2,Tea,435.7,25.1,
3,Home gardens,471.2,27.2,
,Total,1617.3,93.2,"13,781"
