ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-002-1,Proposal,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_1.csv,
2,MWS-002-1,Proposal,Soil and Water Conservation,Details of Reported landslides in MWS-002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_2.csv,
3,MWS-002-1,Proposal,Minor tanks restoration,Details of minor tanks available in MWS-002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_3.csv,
4,MWS-002-1,Proposal,Minor tanks restoration,Salient details of Kandethenna Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_4.csv,
5,MWS-002-1,Proposal,Minor tanks restoration,Salient details of Great Valley Wewa and Karagaskada North Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_5.csv,
6,MWS-002-1,Proposal,Minor tanks restoration,Details of reservation improvement for Kandethenna Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_6.csv,
7,MWS-002-1,Proposal,Minor tanks restoration,Details of reservation improvement for Gurugal Oya Reservoir,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_7.csv,
8,MWS-002-1,Proposal,Minor tanks restoration,Details of reservation improvement for Great Valley Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_8.csv,
9,MWS-002-1,Proposal,Minor tanks restoration,Details of reservation improvement for Karagaskada Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_9.csv,
10,MWS-002-1,Proposal,Minor tanks restoration,Detail summary of tanks catchment protection and repair costs in MWS-002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_10.csv,
11,MWS-002-1,Proposal,Minor tanks restoration,Implementation schedule of four tanks in MWS 002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_11.csv,
