Table 6?18: Potential for tourism development and promotion in the area,
GN Division,Attractions
Perawatta West,"Uragala, Ambalammana Mountain Peak"
Galala (to Lool Kandura),Pekoe Trail Stage 1
Uda Deltota,Uda Deltota Temple
Perawatta East,Ambalammana Mountain View
