Table 6 26: Five year plan MWS-001,,,,,,,,,,,,
,,Extent (ha),,,,,,,,,,
,GN Division,2024 RP,2024 DP,2025 RP,2025 DP,2026 RP,2026 DP,2027 RP,2027 DP,2028 RP,2028 DP,
978,Galaha,1,2,-,1,0.5,1,-,1,-,,-
977,Palugama,1,1,1,-,-,-,-,-,-,,-
980,Perawatta East,-,1,1,1,1,1,-,-,-,,1
981,Perawatta West,-,1,-,1,1,1,-,-,1,,-
979,Suduwella,2,1,1,1,1,1,0.5,1,-,,1
976,Uda Deltota,1,1,1,1,-,1,-,-,-,,-
,Total,5,7,4,5,3.5,5,0.5,2,1,,2
