Table 6 22: Vegetation cover vs population in MWS-001,,,,
,Land use,Extent,Percentage,Population
1,Forests and associated lands,1178.6,59.2,
2,Tea,347.6,17.46,Six GNDs
3,Home gardens,379.6,19.06,
,Total,1905.8,95.72,"16,513"
