Table 6 21: Forest lands in MWS-001 ,,
Type of land use,Extent (ha),Percentage
Forest reserves -dense,3.7,0.19
Forest reserves-open,166.1,8.34
Forest Plantations,156.5,7.86
Grasslands,251.2,12.62
Scrublands,601.1,30.19
Total Forest associations,1178.6,59.2
All other land uses,812.5,40.8
