No. ,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,ON SITE/ OFF SITE,Sub Item No. ,N,E,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation,
4,949,Uduwela Pallegama East,"2. Soil and water conservation in Kekiriwela, 90°",ON,1,7.24898,80.65914,10 ha,"Live fencing/SALT
Maintaining aforest cover or Planting perenial crops such as pepper, coffee etc.",250.00 m-1," 2,500,000.00 ","Labour and other basic services by the Local community/ Shramadana
Funds by the Project",0.5 Years,
4,949,Uduwela Pallegama East,"3. Soil and water conservation in Mudunepara (Home garden), 85°",ON,1,7.25024,80.65834,14 ha,"Live fencing/SALT
Planting perenial crops such as pepper, coffee etc.
Stone terracing/lock and spills, as applied",250.00 m-1," 3,500,000.00 ",,1 Year,
4,949,Uduwela Pallegama East,"4. Establishing a Retaining Wall at G.B.G. Siriya, Kekiriwela/Ethulgama Weldambala",ON,1,7.1459669,80.3935447,0.3 km x 3 m,Retaining Wall using stones,"2,000.00 m-2"," 1,800,000.00 ",,0.25 Years,
4,949,Uduwela Pallegama East,"5. Establishing a Retaining Wall at G.B.G.Dhanapala, Kekiriwela/Ethulgama Weldambala",ON,1,7.24993,80.66024,0.3 km x 3 m,Retaining Wall using stones,"2,000.00 m-3"," 1,800,000.00 ",,0.25 Years,
5,950,Uduwela Pallegama West,1. Rennovation of Leader Drain close to Weldambala Dharmapala School,OFF,1,7.25109,80.65724,600 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 60,000.00 ",Labour and other basic services by the Local community/ Shramadana,1 Year,
5,950,Uduwela Pallegama West,2. Rennovation of Leader Drain added to Thelabu Oya,OFF,1,7.24974,80.6542,5 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 500,000.00 ",Labour and other basic services by the Local community/ Shramadana,1.5 Years,
5,950,Uduwela Pallegama West,3. Improving drainage facility of Galpoththa Hena Road,ON,1,7.24914,80.65622,0.6 km x 0.5 m x 0.5 m,Drains,"3,000.00 m-3"," 450,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.25 Years,
5,950,Uduwela Pallegama West,4. Soil and water conservation in lands near Galpoththa Hena Road (35°),ON,1,7.25082,80.65671,4 ha,Lock and spills,400.00 m-1," 1,600,000.00 ",,1 Year,
5,950,Uduwela Pallegama West,5. Development of Kalagolla Road (Middle of the village)/Building up of stone layered drain,OFF,1,7.25021,80.654662,0.25 km x 0.5 m x 0.5 m ,Drains,"3,000.00 m-3"," 187,500.00 ",Labour and other basic services by the Local community/ Shramadana,0.25 Years,
5,950,Uduwela Pallegama West,"6. Homegarden neer Beerawala Oya, 70°, ",ON,1,7.248773,80.653635,0.4 ha,"Live fencing/SALT
Stone terracing, as applied",250.00 m-1," 100,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
5,950,Uduwela Pallegama West,"7. A Leader Drain with a culvert for the home garden at Nagahalanda, 45°, 3 ac land",OFF,1,7.248372,80.654355,100 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 10,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.25 Years,
6,951,Ratemulla,"1. Soil and water conservation measures in 'Janaudanaya', Hanthana Rajamaha Viharaya, 20°",ON,1,7.24539,80.64867,6 ha,"Lock and spills
Live fencing/SALT","400.00 m-1
250.00 m-1 "," 2400000
1500000 ","Labour and other basic services by the Local community
Guidance by NRMC ","0.5 Years
0.25 Years",
6,951,Ratemulla,"2. Establishing four (04) Retaining Walls (25 m x 4), 7.5 m height",ON,1,7.245847,80.648537,100 m x 7.5 m,Retaining Wall using stones,"2,000.00 m-2"," 1,500,000.00 ",Funds by the Project,0.5 Years,
6,951,Ratemulla,"(W.G. Premadasa, W.G. Dayavansha, O.W. Sumith Kumara and N.K. Jayasinghe)",ON,2,7.246004,80.648331,,,,,Labour and other basic services by the Local community,,
6,951,Ratemulla,"(W.G. Premadasa, W.G. Dayavansha, O.W. Sumith Kumara and N.K. Jayasinghe)",ON,3,7.24539,80.64867,,,,,,,
6,951,Ratemulla,"(W.G. Premadasa, W.G. Dayavansha, O.W. Sumith Kumara and N.K. Jayasinghe)",ON,4,7.2424,80.647959,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,1,7.25,80.66,56 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 5,600,000.00 ",Labour and other basic services by the Local community/ Shramadana,2 Years,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,2,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,3,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,4,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,5, 7.25 , 80.65 ,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,6,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,7,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,8,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,9,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,10,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,11,7.25,80.65,,,,,,,
7,952,Monarangala,1. Rennovation of twelve (12) Leader Drains,OFF,12,7.25,80.65,,,,,,,
7,952,Monarangala,2. Retaining Wall 1 (New Dodamgahawatte) ,OFF,1, 7.25 , 80.66 ,75 m x 4 m,Retaining Wall using stones,"2,000.00 m-2"," 600,000.00 ",Guidance by NRMC ,0.25 Years,
