ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year
1,MWS-008-2,Proposal,Proposal Soil,Soil and water conservation,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWES0080601.geojson,2024
2,MWS-008-2,Proposal,Proposal Soil,Details of reported landslides,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080602.geojson,2024
3,MWS-008-2,Proposal,Proposal Irrigation,Details of minor tanks available,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080603.geojson,2024
4,MWS-008-2,Proposal,Proposal Irrigation,Details of minor tank restoration and repair ,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080608.geojson,2024
5,MWS-008-2,Proposal,Proposal Irrigation,Domestic water supply related activities,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080614.geojson,2024
6,MWS-008-2,Proposal,Proposal Irrigation,Water source protection related activities,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080615.geojson,2024
7,MWS-008-2,Proposal,Proposal Irrigation,Minor irrigation related proposals,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080616.geojson,2024
8,MWS-008-2,Proposal,Proposal Irrigation,Details of water pollution ,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080620.geojson,2024
9,MWS-008-2,Proposal,Proposal Irrigation,Stream reservation,,IWMI/GCP,Field,Yes,Text,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/100_PRP/MWS_008_2/MWS0080622.geojson,2024
