Table 6 20: Potential for tourism development and promotion in the area,
GN Division,Attractions
Uduwela Udagama East,"Hanthana Wewa, Hanthana Uragala Katusukonda, Eco Lodge Kabana, Eco Lodge viewpoint, Hanthana Gallen temple"
Uduwela Udagama West,"Udawela Udagama temple, Hanthana"
Uduwela Pallegama West,"Beerawala Oya Ella, Thelambu Ella"
Ratemulla,Uragala mountain peak
Uduwela Estate,"Sandagiri Seya, Hanthana hiking road"
