ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
14,MWS-004-2,Proposal,Water resource management,Cost estimate of domestic water supply and water source protection-related proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_14.csv,
15,MWS-004-2,Proposal,Water resource management,Cost estimate of minor irrigation related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_15.csv,
16,MWS-004-2,Proposal,Water quality improvement,Key activities proposed for water quality improvement in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_16.csv,
17,MWS-004-2,Proposal,Stream reservation,Stream bank protection proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_17.csv,
18,MWS-004-2,Proposal,Stream reservation,Brief description of legal provisions,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_18.csv,
19,MWS-004-2,Proposal,Stream reservation,Specimen Unit rates of different vegetative cover-improving methods used in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_19.csv,
20,MWS-004-2,Proposal,Stream reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_20.csv,
21,MWS-004-2,Proposal,Product and entrepreneurships developments,Packaging and transport of agricultural produce,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_21.csv,
22,MWS-004-2,Proposal,Product and entrepreneurships developments,Cost estimates and Time frame,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_22.csv,
23,MWS-004-2,Proposal,Forest management,Key stakeholders of Forest lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_23.csv,
24,MWS-004-2,Proposal,Forest management,Forest lands in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_24.csv,
25,MWS-004-2,Proposal,Forest management,Vegetation cover vs population in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_25.csv,
26,MWS-004-2,Proposal,Forest management,Costing of the proposed activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_26.csv,
27,MWS-004-2,Proposal,Tea land management,Key stakeholders of Tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_27.csv,
28,MWS-004-2,Proposal,Tea land management,Proposed Five-year Plan-MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_28.csv,
29,MWS-004-2,Proposal,Tea land management,Estimated cost to be incurred for planting one hectare of tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_29.csv,
30,MWS-004-2,Proposal,Tea land management,Total estimated cost of production for the five-year period,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_30.csv,
