Table 6 25: Vegetation cover vs population in MWS-004-2,,,,
,Land use,Extent,Percentage,Population
1,Forests and associated lands,110,9.79,14 GNDs
2,Tea,75.3,6.69,
3,Home gardens,581.2,51.7,
,Total,766.5,68.18,"12,853"
