ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-004-2,Proposal,,Key activities proposed for soil and water conservation in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_1.csv,
2,MWS-004-2,Proposal,,Details of reported landslides in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_2.csv,
3,MWS-004-2,Proposal,,Details of minor tanks available in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_3.csv,
4,MWS-004-2,Proposal,,Salient details of tanks in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_4.csv,
5,MWS-004-2,Proposal,,Details of minor tank reservation improvement cost in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_5.csv,
6,MWS-004-2,Proposal,,Details of reservation improvement for Ambalammana Wewa in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_6.csv,
7,MWS-004-2,Proposal,,Detail summary of rehabilitation costs in MWS-004-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_7.csv,
8,MWS-004-2,Proposal,,Numbers of proposals related to water source protection,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_8.csv,
9,MWS-004-2,Proposal,,Domestic water supply proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_9.csv,
10,MWS-004-2,Proposal,,Irrigation related proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_10.csv,
11,MWS-004-2,Proposal,,Unit rates of different vegetative cover-improving methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_11.csv,
12,MWS-004-2,Proposal,,Unit rates of different reservation protection methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_004_2/Table_6_12.csv,
