Table 6 3: Details of minor tanks available in MWS-004-2,,,
Tank name,Land ownership,Location details,Remarks
Moragolla Wewa,-,"7.22315 N, 80.67983 E",Recommended to rehabilitate
Ambalammana Wewa,-,"7.22741 N, 80.67390 E ",Recommended to rehabilitate
