Table 6 34: Potential value-added production,
Crop,Potential value-added product
Pepper,"Black pepper
White pepper
Pepper oil"
Vanilla,Vanilla extract
"Spices
Cloves
Ginger
Turmeric","Essential oil from cloves

Sliced and packed ginger and turmeric"
Areca nut,Sliced areca nut
Jackfruit,Dried jackfruit
Coffee,Beans 
