Table 6 24: Forest lands in MWS-004-2 ,,
Type of land use,Extent (ha),Percentage
Forest reserves -dense,0,0
Forest reserves-open,21.8,1.94
Forest Plantations,5.4,0.48
Grasslands,2.3,0.21
Scrublands,80.5,7.16
Total Forest associations,110,9.79
All other land uses,1014.1,90.21
