Table 6 23:Total annual production of export agricultural products,
Type,Total annual production of MWS-007-1
Rubber,23600kg
Coconut,210000Nut
Pepper,21500kg
Coffee,2000kg
Cocoa,500kg
Cinnamon,250kg
