Table 6 2: Details of Reported landslides in MWS-007-1 ,,,,,,,
No.,GN Division No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,988,Sinharagama,No major issues reported,,,,
2,1001,Haragama,Landsliding - Anuragama Middle Road (85°),7.249301,80.74272,Needs NBRO concern,"Trasferring occupants to other lands, Avoiding construction of heavy structures, trees etc., Monitoring continuously"
,,,,7.249021,80.743037,Needs NBRO concern,"Trasferring occupants to other lands, Avoiding construction of heavy structures, trees etc., Monitoring continuously"
3,1002,Udamailapitiya North,No major issues reported,,,,
4,1004,Kekigannawala,Soil sloughing and damaging houses,7.213745,80.750169,NBRO has visited,Establishing a retaining wall (50 m x 2.5 m)
5,1006,Patha Mailapitiya South,No major issues reported,,,,
