Table 6 17: Forest lands in MWS-007-1 ,,
Type of land use,Extent (ha),Percentage
Forest reserves -dense,0,0
Forest reserves-open,0,0
Forest Plantations,7.1,2.31
Grasslands,0,0
Scrublands,299.2,97.6
Total Forest associations,306.3,23.32
All other land uses,1007.4,76.68
