Table 6 7: Estimate of water source protection-related activities ,,,,,
GND No.,Scheme,Problem to be addressed/ Recommendations,N,E,Estimated Cost
1006,Patha Mailapitiya South Dug well,"A primitive dug well. 
1. Recommend excavating to size of 3mx3mx4m(deep) and construct peripheral rubble masonry protective walls,1:4 cement sand plastering finish smooth with neat cement float, 3mx2m concrete pavement with cut off wall, 
2. Recommend establishing dense Kumbuk, Mee, Kekuna, Areca nut, etc., randomly mixed potential vegetation for a 50 Sq.m reservation with riparian plants around the well. 
3. Fabricate and place 3.5mx3.5m size GI (50x25)framed GI welded mesh (50x50) with PVC fly mesh as a protective cover",7.23348,80.73735,"455,000"
,Total cost,,,LKR,"455,000"
