Table 6 6: Details of reservation improvement for Kandethenna Wewa,,
Work description,Location,Amount (Rs.)
1. Dense planting of mixed vegetation comprising Agave/Kumbuk/Mee/ Godapara/ Madan / Aththikka/ Wal Del/ Kekuna/ Mango/ Guava/ Durian/ Avocado/ Nutmeg/ randomly mixed seedlings at 500 mm grid intervals for 3000 m2.,Around the tank periphery to cover grass patches.,"1,966,000"
"2. Apply mulching, organic manure, and NPK fertilizer.",,
"3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 400 m2. ",,
4. Plant two lines of Areca nut trees beside the reserve and cultivate pepper   an area of around 400 m2.,,
Maintain for six months and continue watering for one year as required.,,
Total,,"1,966,000"
