Table 6 13: Detail summary of minor tank restoration and repair costs in MWS-006-2,,,
Tank name,Land ownership,Location details,Tentative Estimate (LKR) 
a. Punchiwaththa Ihala Wewa,DAD,"7.19354 E, 80.70804 N","2,600,000"
b. Punchiwaththa Pahala Wewa,DAD,"7.19432 E, 80.70904 N","6,001,500"
c. Attamalai Wewa,DAD,"7.19924 E, 80.71345 N","775,000"
d. Karuppamalai Wewa,DAD,"7.19924 E, 80.70918 N","900,000"
e. Maussawa Wewa,DAD,"7.18616 E, 80.73117 N","1,031,000"
f. Gongalegoda Wewa,DAD,"7.19266 E, 80.72498 N","785,000"
 ,,Total ,"12,092,500"
