Table 6 2: Details of Reported landslides in MWS-006-2 ,,,,,,,
No. ,GN Division No.,GN Division,Land Slides,N or X,E or Y,NBRO Recommendation,Proposed Measures
1,1035,Maussawa,,No major issues reported,,,
2,998,Bawlanawatta ,Flooding houses,7.196531,80.716866,,Facilitating drainage
