Table 6 3: Details of minor tank available in MWS-006-2,,,
Tank name,Ownership,Location details,Remarks
Punchiwaththa Ihala Wewa,DAD,"7.19354 E, 80.70804 N",Recommended to improve reservation
Punchiwaththa Pahala Wewa,DAD,"7.19432 E, 80.70904 N","Recommended to improve reservation, Spill, Structural repairs to bund, sluice, etc"
Attamalai Wewa,DAD,"7.19924 E, 80.71345N","Recommended to improve reservation, desilting "
Karuppamalai Wewa,DAD,"7.19924 E, 80.70918 N",Recommended to improve reservation
Maussawa Tank,DAD,"7.18616 E, 80.73117N",Recommended to improve reservation
Gongalegoda Tank,DAD,"7.19266 E, 80.72498 N","Recommended Partial desilting, improve reservation, Structural repairs to the bund, sluice, etc"
