Table 6 8: Details of Punchiwaththa Pahala Wewa improvement cost estimate in MWS-006-2,,
Work description,Location,Amount (LKR) 
1. Dense planting of mixed vegetation comprising Kumbuk/ Mee/ Godapara/Madan /Aththikka/Wal del/Kekuna / Mango/ Guava/ Durian/ Avocado/ Nutmeg/randomly mixed seedlings at 500 mm grid intervals for 600 m2. ,Around the tank periphery,"401,500"
"2. Apply mulching, organic manure, and NPK fertilizer.",,
"3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 100 m2. ",,
4. Plant two lines of Areca nut trees beside the reserve and cultivate pepper in an area of around 100 m2.,,
"Item allow for replacing 300mm Dia sluice gate, lifting arrangement with rod, Handrail, Passarella. ",,"500,000"
Item allow for cleaning old concrete surface and structural concrete work in Passarella and curtain wall (80 m3) with 200mm x12mm (dia.) bended end shear connector dowels (2500 nos) and (600 m2) formwork etc.,,"4,500,000"
Desilting and removing debris in the tank bed (about 600 m3) ,,"600,000"
,,"6,001,500"
