Table 6 19: Estimate of domestic water supply related activities,,,,,
GND No.,Scheme,Problem to be addressed/Recommendation,N,E,Estimated Cost
998,Bawlanawatta Janapadaya Water tank,"Tank is dilapidated and leakages are occurring from the tank and probable Water pollution. (60 families) Recommend 1. To construct ferro cement tank of 35 m3 capacity. 2.Fencing and make dense planting of mixed vegetation comprising Agave/Areca nut trees /Kithul/Kumbuk/Mee/ Godapara/Kaduru/Aththikka/Wal del/Kekuna randomly mixed seedlings at 500 mm grid interval.4. Apply mulching, organic manure and NPK fertilizer. Covered area 200 m2.3. Awareness and training on cattle shed management and producing organic fertilizer.",7.186227,80.70432,"463,400"
1035,Rainwater harvesting tank,Public interest on RWH systems. Recommend to provide 50% financial assistance to 15 families to build their own rain water harvesting tanks.,7.186227,80.70432,"975,000"
,Total cost,,,,"LKR 1,438,400"
