Table 6 29: Vegetation cover vs population in MWS-006-2,,,,
,Land use,Extent,Percentage,Population
1,Forests and associated lands,335,70.21,Six GNDs
2,Tea,73.7,15.45,
3,Home gardens,40.6,8.51,
,Total,449.3,94.17,"16,513"
