Table 6 44: Recommended training programs for Livelihood development and marketing,,,,,
Training - Livelihood and Marketing,Target group,No of programs,Unit cost,Total Cost (Rs),Agency
Paddy and field crop productivity improvement methods ,Farmers,1,"25,000","25,000",DAD/DOA 
Livestock productivity improvement methods ,Farmers,1,"30,000","30,000",DAPH 
 Export agriculture productivity improvement ,Farmers,1,"40,000","40,000",DEA 
Value addition and product development ,Farmers/ Producers,2,"75,000","150,000",ITI/IDB/DEA 
 Post-harvest technology ,Farmers/ Collectors,1,"50,000","50,000",NIPHT 
Quality assurance and standardization ,Farmers/ Producers,1,"40,000","40,000",DOA/DEA 
Agri-technology and Equipment use ,Producers/ Collectors,1,"50,000","50,000",DOA/ DEA/ DAPH/ Suppliers 
Environmentally friendly farming ,Farmers,1,"50,000","50,000",DAD/DOA 
 Farmer-field school ,Farmers,1,"50,000","50,000",DOA/DA[H 
Digital marketing and promotion ,Farmers,1,"100,000","100,000",NEDA/ SLTDA/ SLTPB 
Tour guide and hospitality management training ,Farmers,1,"60,000","60,000",SLTPB 
 Agro-ecotourism ,Farmers,1,"50,000","50,000",DOA/ SLTDA/ SLTPB 
 Training women on cottage-level industries ,Women producers,1,"40,000","40,000",MoI - 'Vidatha' 
 Financial Management and Business Planning ,Farmers/ Producers,1,"40,000","40,000",DS Office 
Total,,,,"775,000",
