ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-006-2,Proposal,,Key activities proposed for soil and water conservation in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_1.csv,
2,MWS-006-2,Proposal,,Details of Reported landslides in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_2.csv,
3,MWS-006-2,Proposal,,Details of minor tank available in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_3.csv,
4,MWS-006-2,Proposal,,Salient details of Punchiwaththa Ihala Wewa and Punchiwaththa Pahala Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_4.csv,
5,MWS-006-2,Proposal,,Salient details of Attamalai Wewa and Karupamalai Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_5.csv,
6,MWS-006-2,Proposal,,Salient details of Maussawa Wewa and Gongalegoda Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_6.csv,
7,MWS-006-2,Proposal,,Details of Punchiwaththa Ihala Wewa improvement cost,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_7.csv,
8,MWS-006-2,Proposal,,Details of Punchiwaththa Pahala Wewa improvement cost estimate in MWS-006-2,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_8.csv,
9,MWS-006-2,Proposal,,Tentative cost for the improvement of the reservation of the Attamalai Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_9.csv,
10,MWS-006-2,Proposal,,Tentative cost for the improvement of the reservation of the Karuppamalai tank,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_10.csv,
11,MWS-006-2,Proposal,,Tentative cost for the improvement of Maussawa Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_006_2/Table_6_11.csv,
