Table 6 28: Forest lands in MWS-006-2,,
Type of land use,Extent (ha) ,Percentage
Forest reserves -dense,0,0
Forest reserves-open,4.7,0.98
Forest Plantations,94,19.7
Grasslands,0,0
Scrublands,236.3,49.54
Total Forest associations,335,70.22
All other land uses,142.1,29.78
