Table 6 6: Cost details of Wanahapuwa Wewa-reservation improvement,,
Work description,Location,Amount (LKR)
1. Dense planting of mixed vegetation comprising Agave/ Kumbuk/ Mee/ Godapara/ Madan / Aththikka/ Wal del/ Kekuna/ Mango/ Guava/ Durian/ Avocado/ Nutmeg/ randomly mixed seedlings at 500 mm grid intervals for 5000 m2. ,Around the tank periphery,"2,974,000"
"2. Apply mulching, organic manure, and NPK fertilizer.",,
"3. Introduction of Bamboo, Vetiver grass, and riparian plants. Covered area 400 m2. ",,
4. Plant two lines of Areca nut trees beside the reserve and cultivate pepper in around 400 m2.,,
5. Maintain for six months and continue watering for one year as required.,,
,,"2,974,000"
