Table 6 26: Forest lands in MWS-008-2 ,,
Type of land use,Extent (ha),Percentage
Forest reserves -dense,0,0
Forest reserves-open,25.7,2.64
Forest Plantations,7.7,0.79
Grasslands,0,0
Scrublands,176.6,18.12
Total Forest associations,210,21.56
All other land uses,764,78.43
