Table 6 12: Estimate of water source protection-related activities ,,,,,
GND No.,Scheme,Problem to be addressed,N,E,Estimated Cost
1024,Magaha Madiththa Springs,"No vegetation in the reservation due to manmade fires. Recommend 100sqm dense randomly mixed natural reforestation, and double rows of Agave (Hana) and areca plantation along the boundary. Stake holders’ participation is Recommended to protect until growth established substantially.",7.19627,80.76176,"86,100"
,Total cost ,,,,LKR 86100
