Table 6 22: HEPA within MWS-008-1 ,,,,
,Land use,Extent,Percentage,Population
1,Forests and associated lands,282.8,26.05,Seven GNDs
2,Tea,25.7,2.37,
3,Home gardens,360.3,33.31,
,Total,667.8,61.73,7043
