Table 6-23: Forest lands in MWS-003 ,,
Type of land use,Extent (ha),Percentage
Forest reserves -dense,0.4,0.03
Forest reserves-open,59.8,3.37
Forest Plantations,109.4,6.2
Grasslands,46.4,2.6
Scrublands,179.2,10.2
Total Forest associations,395.2,22.4
All other land uses,1357.4,77.6
