Table 6 24: Forest lands in MWS-006-1 ,,
Type of land use,Extent (ha),Percentage
Forest reserves -dense,0,
Forest reserves-open,2.8,0.23
Forest Plantations,13.1,1.07
Grasslands,6.3,0.51
Scrublands,118.1,9.63
Total Forest associations,140.3,11.44
All other land uses,1085.8,88.56
