Table 6 36: Cost estimation of livelihood development activities,,,,,,,
Type,Items Needed,GNDs Requested,Number,Unit Cost (Rs.),Total Cost (Rs.),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (Rs.)
Paddy,Tray,"Hewawissa East-3000, Oluwawatte-2000, Galagoda-65, Marassana-7000, Hewawissa west-2300, Kandewela-1800, bopitiya-2500, elikewela-2000, bawlana-1900","22, 565",80,"1, 805, 200",50%,"902, 600"
,Electric fence,"Hewawissa east-10, Oluwawatte-10, Galagoda-20, marassana-10, Bawlana-5, Elikewela-15, Bopitiya-20, kandewela-20, Hewawissa west-20, Medadeniya-5",135,"36, 000","4, 860, 000",50%,"2, 430, 000"
Vegetable,Capsicum,"Kiriwanagoda-04, Hewawissa east-6, Oluwawatte-5, Galagoda-10, Marassana-5, Ududeniya-5, medadeniya-2, Damunugolla-20, Hewawissa west-5, Kandewela-6, Bopitiya-10, Bawlana-7",Perch 80,"40/perches unit - 20g. 3, 000","6, 000",100%,"6, 000"
,Cabbage,"Marassana-10, Ududeniya-5, kiriwanagoda-4, Hewawissa East-8, oluwawatte-10, Meeruppa-4, Bawlana-5, Bopitiya-3, Kandewela-5, Hewawissa west-12, Medadeniya-1",Perch 67,"40/perches unit - 20g. 6, 000","10, 050",100%,"10, 050"
,Green chili,"Meeruppa-2, kiriwanagoda-3, Hewawissa east-4, oluwawatte-6, galagoda-5, Marassana -5, Medadeniya-2, damunugolla-8, Hewawissa west-8, kandewela-2, bopitiya-8, bawlana-3",Perch 51,"40/perches unit - 50g. 1, 500","1, 912.50",100%,"1, 912.50"
,Beans,"Ududeniya-5, marassana-15, galagoda-16, oluwawattr-7, Hewawissa east-9, kiriwanagoda-3, meeruppa-2, bawlana-8, bopitiya-14, kandewela-7, Hewawissa west-5, Damunugolla, 3, medadeniya-2",Perches 96,"40/perches unit - 1500g. 4, 500","10, 800",100%,"10, 800"
,Tomato,"Meeruppa-11, kiriwanagoda-4, Hewawissa east-7, oluwawatte-25, galagoda-25, marassana-15, Ududeniya-5, medadeniya-5, damunugolla-30, Hewawissa west-4, kandewela-12, bopitiya-20, bawlana-20",Perch 182,"40/perches unit - 10g. 6, 000","27, 300",100%,"27, 300"
Fruits,Banana,"Ududeniya-50, marassana-150, oluwawatte-100, Hewawissa east-100, meeruppa-100, bawlana-100, elikewela-40, kandewela-80, Hewawissa west-100, damunugolla-50, medadeniya-50",Plant 920,120,"110, 400",100%,"110, 400"
,Avocado,"Meeruppa-50, Hewawissa east-100, marassana-100, ududeniya-50, bawlana-80, elikewela10, bopitiya-80, kandewela-70, Hewawissa west-50, damunugolla-50",Plant 640,200,"128, 000",100%,"128, 000"
,Mango,"Ududeniya-50, marassana-100, meeruppa-100, Hewawissa east-100, bawlana-30, Damunugolla-100, elikewela-30, bopitiya-80, kandewela-30, Hewawissa west-100",Plant 720,300,"216, 000",100%,"216, 000"
Export Crops,Coffee,"Hewawissa east-1500, meeeuppa-8200, Marassana, 100, ",9800,30,"294, 000",100%,"294, 000"
,Pepper,"Hewawissa east-3000, kandewela-3200, Hewawissa west-3000",9200,40,"368, 000",100%,"368, 000"
,Ginger,"Hewawissa east-1200, meeruppa-1500, ",2700,18,"48, 600",100%,"48, 600"
Livestock,No of cow,"Ududeniya-5, marassana-4, galagoda-5, Oluwawatte-5, Ududeniya madige-7, Hewawissa east-3, damunugolla-4, kandewela-3, Hewawissa west-3, bopitiya-2, bawlana-3",44,"250, 000","11, 000, 000",50%,"5, 500, 000"
,No of goat,"Marassana-4, galagoda-10, oluwawatte-10, Ududeniya madige-50, Hewawissa west-15, bawlana-3",92,"40, 000","3, 680, 000",50%,"1, 840, 000"
,No of chicks,"Marassana-70, galagoda-100, oluwawatte-15, Ududeniya madige-100, meeruppa-50, medadeniya-10, damunugolla-80, kandewela-50, Hewawissa west-50, bopitiya-50, elikewela-50, bawlana-50",675,"1, 500","1, 012, 500",50%,"506, 250"
,Incubator,Hewawissa west-2,2,"60, 000","120, 000",50%,"60, 000"
,No of sheds - cow,"Ududeniya-2, marassana-4, galagoda-5, oluwawatte-5, Ududeniya madige-5, Hewawissa east-3, kiriwanagoda-1, medadeniya-1, damunugolla-4, Hewawissa west-3, kandewela-5, bopitiya-2, elikewela-1, bawlana-2",43,"300, 000","12, 900, 000",50%,"6, 450, 000"
,No of sheds - goat,"Marassana-1, galagoda-5, oluwawatte-10, Ududeniya madige-10, Hewawissa west-3, bawlana-3",32,"150, 000","4, 800, 000",50%,"2, 400, 000"
Protected Agriculture,Polytunnel,"Marassana-5, oluwawatte-5, meeruppa-3, Hewawissa east-5, medadeniya-3, kandewela-4, bopitiya-3, bawlana-4",32,"700, 000","22, 400, 000",50%,"11, 200, 000"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),,10,"8, 000","80, 000",75%,"60, 000"
,Curry powder grinding,"Marassana-1, medadeniya-1, damunugolla-1, kandewela-1, bopitiya-1",5,"120, 000","600, 000",50%,"300, 000"
,Jackfruit drying machines,"Oluwawatte-1, damunugolla-1, bopitiya-1",3,"850, 000","2, 550, 000",50%,"1, 275, 000"
Total Cost,,,,,,,"34, 144, 912.50"
