Table 6 25: Vegetation cover vs population in MWS-006-1,,,,
,Land use,Extent,Percentage,Population
1,Forests and associated lands,140.3,11.44,15 GNDs
2,Tea,7.8,0.64,
3,Home gardens,627.2,51.15,
,Total,775.3,63.23,10862
