ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
1,MWS-005,Proposal,Soil and Water Conservation,Key activities proposed for soil and water conservation in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_1.csv,
2,MWS-005,Proposal,Soil and Water Conservation,Details of Reported landslides in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_2.csv,
3,MWS-005,Proposal,Minor tanks restoration,Details of minor tanks available in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_3.csv,
4,MWS-005,Proposal,Minor tanks restoration,Salient details of tanks in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_4.csv,
5,MWS-005,Proposal,Minor tanks restoration,Unit rates of different vegetative cover-improving methods for MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_5.csv,
6,MWS-005,Proposal,Minor tanks restoration,Details of Muthukeliyawa Reservation improvement cost in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_6.csv,
7,MWS-005,Proposal,Minor tanks restoration,Details of reservation improvement and Salvinia removal in Kirimetiya Wewa in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_7.csv,
8,MWS-005,Proposal,Minor tanks restoration,Details of reservation improvement in Pihimbiyakele Wewa in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_8.csv,
9,MWS-005,Proposal,Minor tanks restoration,Details of reservation improvement in Katukithula Wewa,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_9.csv,
10,MWS-005,Proposal,Minor tanks restoration,Details of reservation improvement in Bogamuwa Wewa in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_10.csv,
11,MWS-005,Proposal,Minor tanks restoration,Detail summary of minor tanks restoration and repair costs in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_11.csv,
12,MWS-005,Proposal,Minor tanks restoration,Implementation schedule of three tanks in MWS-005,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_12.csv,
13,MWS-005,Proposal,Water resource management,Numbers of proposals related to water source protection,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_13.csv,
14,MWS-005,Proposal,Water resource management,"Numbers of proposals related to community water supply, NWS&DB Extensions, Tube wells etc",,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_14.csv,
15,MWS-005,Proposal,Water resource management,Domestic water supply proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_15.csv,
16,MWS-005,Proposal,Water resource management,Irrigation related proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_16.csv,
17,MWS-005,Proposal,Water resource management,Unit rates of different vegetative cover-improving methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_17.csv,
18,MWS-005,Proposal,Water resource management,Unit rates of different reservation protection methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_18.csv,
19,MWS-005,Proposal,Water resource management,Unit rates of different options of canal rehabilitation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_005/Table_6_19.csv,
