Table 6?10: Details of reservation  improvement in Bogamuwa Wewa in MWS-005,,
Name,Work description ,Amount (LKR)
Bogamuwa Wewa,1. Dense planting of mixed vegetation comprising Kumbuk/Mee/ Godapara/Madan /Jak/Aththikka/Wal del/Kekuna /Avocado/ Mango/ Guava/ randomly mixed seedlings at 500 mm grid intervals for 1300 m2.   ,"764,000"
,"2. Apply mulching, organic manure, and NPK fertilizer.",
," 3. Introduction of Agave, Vetiver grass, and riparian plants. Covered area 300 m2. ",
Total,,"764,000"
