Table 6 42:Total annual production of export agricultural products,
Type,Total annual production of MWS-005
Rubber,"1,200 kg"
Coconut,"36,500 nuts"
Clove,"2,000 kg"
Cinnamon,100 kg
Coffee,"1,270 kg"
Cocoa,20 kg
Pepper,"70,200 kg"
