Table 6 3: Details of minor tanks available in MWS-005,,,
Tank name,Ownership,Location details,Remarks
Muthukeliyawa Wewa,DAD,"7.213453 N, 80.696547 E",Recommended to improve reservation
Kirimetiya Wewa,DAD,"7. 216957 N,  80. 689617 E",Recommended to improve reservation and eradicate aquatic weeds
Pihibiyakele  Wewa,DAD,"7.22313 N, 80.67952 E",Recommended to improve reservation
Katukithula Wewa,DAD,"7.22105 N, 80.68088 E",Recommended to improve reservation 
Bogamuwa Wewa,DAD,7.2027805N 80.69781E,Recommended to improve reservation 
