Table 6 41: Crop suitability,,
Crop,Agriculture practice based on water resource,
,Irrigated,Rain fed
Rice,#,*
Maize,,*
Kurakkan,,*
Green gram,,*
Cowpea,,*
Soya bean,#,*
Large onion,#,
Chili,#,*
Cassava,,*
Sweet potato,#,*
Tobacco,#,*
Tomato,#,*
Local Vegetables,#,*
