Table 6 34: Vegetation cover vs population in MWS-005,,,
Land use,Extent,Percentage,Population
Forests and associated lands,371.8,21.27,17 GNDs
Tea,102.1,5.84,
Home gardens,828.2,47.37,
Total,1302.1,74.48,12716
