Table 6 33: Forest lands in MWS-005 ,,
Type of land use,Extent (ha),Percentage
Forest reserves -dense,0,0
Forest reserves-open,56.1,3.21
Forest Plantations,131.1,7.5
Grasslands,60.8,3.48
Scrublands,123.8,7.08
Total Forest associations,371.8,21.27
All other land uses,1376.6,"78,73"
