Table 6 30: Accommodation Places,
GN division,Attractions
Letiyagolla,"Belwood Hills, ATT’S NEST"
Godamunna West,Galavilla Hotel
Narangasthenna,SANDELWOOD VILA
Bootawatta North,Shan Restaurant
